"Applied filters:
Calendar_Day is on or after 01/01/2026 and is before 27/06/2026
COUNTRY_SHORT is UKR
Attribute is Article_ID, Article_Desc, or Article_Image
Store_Name is UA_KYIV_Spektr_FO
KPIs is Net_Sales_EUR, Net_Qty, NS_vs_LY, Store_Stock, Warehouse_Stock, or Weeks Cover";;;;;;;;
;;;;;;;;
Article_ID;Article_Desc;Article_Image;Net_Sales_EUR;Net_Qty;NS_vs_LY;Store_Stock;Warehouse_Stock;Weeks_Cover
IN3310;M FI 3S PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IN3310-small.png;2 088;45;43%;34;247;141
IF4988;TERREX UNITY LEA MID CLD.RDY;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IF4988-small.png;2 075;39;;;;
JQ8318;CAMPUS 00S DOUBLE W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JQ8318-small.png;2 055;58;;;;
IH6129;CLOUDFOAM COMFY;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IH6129-small.png;2 040;61;;;;
IE8135;GALAXY 6 M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IE8135-small.png;2 036;52;69%;40;56;24
JR8765;SL 72 RTN;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR8765-small.png;2 034;25;;45;;20
KI1099;HOOPS CLASSIC W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KI1099-small.png;2 034;52;;7;;5
IE0420;GAZELLE BOLD W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IE0420-small.png;2 034;58;;;;
IE8150;GALAXY 6 W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IE8150-small.png;2 033;52;-23%;38;1 613;413
ID4989;EVERYSET TRAINER;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/ID4989-small.png;2 030;38;153%;25;;15
IE7969;DURAMO SL M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IE7969-small.png;2 024;54;42%;56;149;51
IH8038;CAMPUS VULC J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IH8038-small.png;2 016;49;;19;153;
IH3850;GRAND COURT ALPHA 00s;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IH3850-small.png;2 011;36;;17;;7
HP7559;RUNFALCON 3.0 W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HP7559-small.png;2 011;53;-15%;43;455;109
GZ0637;DURAMO 10 EL K;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GZ0637-small.png;2 006;58;-18%;40;;28
JI0951;TERREX AGRAVIC 3;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JI0951-small.png;2 003;53;;;;
HQ6912;GAZELLE BOLD W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HQ6912-small.png;2 000;41;;;;
IF9475;DURAMO SL W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IF9475-small.png;1 972;50;-12%;27;;8
HQ4130;DURAMO 10;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HQ4130-small.png;1 960;53;-10%;52;471;183
JR8769;SL 72 RS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR8769-small.png;1 959;47;;;;
H03471;CAMPUS 00s;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/H03471-small.png;1 957;39;;25;;29
IG9899;RETROPY F2 J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IG9899-small.png;1 954;43;;25;;13
IS3918;W Z.N.E. FZ;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IS3918-small.png;1 934;32;;9;62;62
JC5807;CLASSIC TT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JC5807-small.png;1 920;40;1341%;3;;1
KE4680;M Z.N.E. FZ;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KE4680-small.png;1 920;41;;5;;1
GV7126;DURAMO SL;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GV7126-small.png;1 919;49;;35;;10
FZ0961;RUN 60s 2.0;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FZ0961-small.png;1 918;47;-7%;;;
JX4120;PADDED VEST;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JX4120-small.png;1 909;49;;36;214;
GW9251;GRAND COURT BASE 2.0;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GW9251-small.png;1 907;48;;45;887;408
JI4084;RUNFALCON 5 TR;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JI4084-small.png;1 906;41;;4;0;1
IG1025;SAMBA OG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IG1025-small.png;1 896;49;;15;;9
IE0751;RUNFALCON 3.0 W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IE0751-small.png;1 893;48;;19;;10
GX0711;DURAMO 10;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GX0711-small.png;1 891;49;16%;41;;48
GZ5173;PUREBOOST 22;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GZ5173-small.png;1 887;24;;48;29;39
JR0912;SAMBA OG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR0912-small.png;1 877;46;;;;
IF7877;DURAMO SL W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IF7877-small.png;1 859;46;;44;;14
IE6989;adidas ASTIR W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IE6989-small.png;1 848;27;-42%;37;682;419
JI1715;GRAND COURT ALPHA 00s;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JI1715-small.png;1 843;42;;;;
IE8812;RUNFALCON 5;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IE8812-small.png;1 837;57;;;412;
ID9844;CAMPUS 2;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/ID9844-small.png;1 835;27;;30;;13
IE5989;Tensaur Run 3.0 EL C;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IE5989-small.png;1 828;84;;37;287;227
JS1778;ANTHONY EDWARDS 1 LOW;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JS1778-small.png;1 828;55;;14;;
HT3469;T SPW LOW 3P;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HT3469-small.png;1 815;285;34145%;25;53;3
JP7512;BREAK START MID WINTERIZED;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JP7512-small.png;1 798;56;;;24;
IF1389;F50 CLUB TF J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IF1389-small.png;1 785;54;;4;;4
JH9363;GRAND COURT BASE 2.0;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JH9363-small.png;1 779;44;;26;427;144
JQ8852;BARREDA DECODE J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JQ8852-small.png;1 770;48;;27;;6
GW3847;GALAXY 6 W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GW3847-small.png;1 768;46;16%;56;952;353
JS1432;TERREX ANYLANDER CLIMAWARM + W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JS1432-small.png;1 768;43;;;;
JI3555;ADIZERO ARUKU;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JI3555-small.png;1 766;48;;;;
IT5457;TR-ES WOVEN PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IT5457-small.png;1 740;42;-17630%;15;;3
ID8765;GALAXY 7 W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/ID8765-small.png;1 736;47;;1;25;46
GM5534;W 3S TR TS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GM5534-small.png;1 730;44;69%;19;;7
JR1326;BARREDA;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR1326-small.png;1 728;39;;18;;4
ID9839;CAMPUS 2;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/ID9839-small.png;1 724;26;;33;;19
KI1121;HOOPS CLASSIC W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KI1121-small.png;1 720;43;;30;;26
ID8757;GALAXY 7 M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/ID8757-small.png;1 704;45;;21;;3
JH9633;ULTRABOOST 5;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JH9633-small.png;1 686;27;;17;;15
