"Applied filters:
Calendar_Day is on or after 01/01/2026 and is before 27/06/2026
COUNTRY_SHORT is UKR
Attribute is Article_ID, Article_Desc, or Article_Image
Store_Name is UA_KYIV_Spektr_FO
KPIs is Net_Sales_EUR, Net_Qty, NS_vs_LY, Store_Stock, Warehouse_Stock, or Weeks Cover";;;;;;;;
;;;;;;;;
Article_ID;Article_Desc;Article_Image;Net_Sales_EUR;Net_Qty;NS_vs_LY;Store_Stock;Warehouse_Stock;Weeks_Cover
KG0404;ALL ME LS RIB B;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG0404-small.png;;;;;0;
KG0934;M S SLIDE ILL T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG0934-small.png;;;;;78;
KG0935;M S SLIDE ILL T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG0935-small.png;;;;;78;
KG0943;M TST PST T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG0943-small.png;;;;;100;
KG0948;M TST CAKE T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG0948-small.png;;;;;200;
KG0949;M TST CAKE T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG0949-small.png;;;;;200;
KG0996;J Z.N.E. WV PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG0996-small.png;;;;;18;
KG1000;J STADIUM JKT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1000-small.png;;;;;58;
KG1002;J Z.N.E. WV SH;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1002-small.png;;;;;18;
KG1003;J Z.N.E. WV CU;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1003-small.png;;;;;18;
KG1009;J Z.N.E. CL TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1009-small.png;;;;;22;
KG1500;W DOWN PUF HD J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1500-small.png;;;;;0;
KG1501;W DOWN PUF HD J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1501-small.png;;;;;0;
KG1503;W DOWN PUF VEST;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1503-small.png;;;;;0;
KG1504;W DOWN PUF VEST;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1504-small.png;;;;;0;
KG1506;W DOWN PUF J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1506-small.png;;;;;0;
KG1507;W DOWN PUF J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1507-small.png;;;;;0;
KG1508;W DOWN PUF J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1508-small.png;;;;;0;
KG1511;DOWN PUF VEST;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1511-small.png;;;;;0;
KG1513;DOWN PUF VEST;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1513-small.png;;;;;0;
KG1515;DOWN PUF HD JKT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1515-small.png;;;;;0;
KG1516;DOWN PUF HD JKT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1516-small.png;;;;;0;
KG1517;DOWN PUF HD JKT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1517-small.png;;;;;0;
KG1519;DOWN PUF MID J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1519-small.png;;;;;0;
KG1520;DOWN PUF MID J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1520-small.png;;;;;0;
KG1526;CITY RAIN;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1526-small.png;;;;;0;
KG1529;W CITY RAIN PAR;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1529-small.png;;;;;0;
KG1531;W CITY RAIN PAR;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1531-small.png;;;;;0;
KG1541;M Z.N.E. PUFFER;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1541-small.png;;;;;0;
KG1543;M Z.N.E. PUFFER;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1543-small.png;;;;;0;
KG1568;M CT 3S OH PANT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1568-small.png;;;;;0;
KG1570;M CT Q4 WARM PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1570-small.png;;;;;0;
KG1591;adi365 HYB JK M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1591-small.png;;;;;0;
KG1675;3S SH 8IN;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1675-small.png;;;;;645;
KG1680;COLL SH;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1680-small.png;;;;;21;
KG1684;COLL SH;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1684-small.png;;;;;240;
KG1822;TF HYBRID SHORT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1822-small.png;;;;;0;
KG1888;W ESS 3S INS BO;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG1888-small.png;;;;;220;
KG2226;1/4 SOCKS 3P;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG2226-small.png;;;;;26;
KG2462;D4T PrimeLift T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG2462-small.png;;;;;0;
KG2492;LFC DNA POLO;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG2492-small.png;;;;;0;
KG2495;LFC DNA TT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG2495-small.png;;;;;0;
KG2497;LFC DNA PNT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG2497-small.png;;;;;0;
KG2498;LFC DNA SWT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG2498-small.png;;;;;0;
KG2500;LFC KIDS TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG2500-small.png;;;;;0;
KG2976;REAL EQT TP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG2976-small.png;;;;;0;
KG2982;REAL EQT JSY;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG2982-small.png;;;;;0;
KG2987;REAL EQT HZIP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG2987-small.png;;;;;0;
KG2988;REAL EQT TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG2988-small.png;;;;;0;
KG2990;REAL LF TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG2990-small.png;;;;;0;
KG2995;REAL LF HD;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG2995-small.png;;;;;0;
KG3218;Run Ess BL S M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG3218-small.png;;;;;126;
KG3225;Run Ess Tee W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG3225-small.png;;;;;217;
KG3226;Run Ess Tee W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG3226-small.png;;;;;231;
KG3229;Run Ess Tee W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG3229-small.png;;;;;218;
KG3261;Run Ess BL SW;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG3261-small.png;;;;;0;
KG3342;W AK SL RIB TNK;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG3342-small.png;;;;;170;
KG3357;UAF DNA JSY Y;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG3357-small.png;;;;;0;
KG3654;C ESS ANK 3P;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG3654-small.png;;;;;0;
KG3714;LINEAR TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG3714-small.png;;;;;17;
KG4782;D4T CW FULL-ZIP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG4782-small.png;;;;;0;
KG4784;D4T CW Pant;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG4784-small.png;;;;;0;
KG4804;PUREMOTIONSHORT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG4804-small.png;;;;;0;
KG5373;REAL EQT TT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG5373-small.png;;;;;0;
KG5374;REAL EQT SWT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG5374-small.png;;;;;0;
KG5388;M S SLIDE TR T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG5388-small.png;;;;;6;
KG5396;M NOV BOWL T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG5396-small.png;;;;;0;
KG5742;adi365 W JK M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG5742-small.png;;;;;0;
KG5743;adi365 W JK M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG5743-small.png;;;;;0;
KG5744;adi365 W PT M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG5744-small.png;;;;;400;
KG5748;adi365 W JK W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG5748-small.png;;;;;132;
KG5749;adi365 W JK W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG5749-small.png;;;;;100;
KG6108;LG DY MNA SPSET;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6108-small.png;;;;;104;
KG6109;LK MRVL SM SPOR;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6109-small.png;;;;;0;
KG6111;I DY MM T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6111-small.png;;;;;0;
KG6112;I DY MM T SET;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6112-small.png;;;;;0;
KG6113;I DY MI T SET;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6113-small.png;;;;;0;
KG6114;I DY MI JOG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6114-small.png;;;;;0;
KG6117;I DY MNA T SET;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6117-small.png;;;;;104;
KG6118;I DY MNA JOG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6118-small.png;;;;;0;
KG6121;I DY TS JOG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6121-small.png;;;;;0;
KG6123;J MRVL SM GFX T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6123-small.png;;;;;88;
KG6124;LK DY MM TT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6124-small.png;;;;;0;
KG6125;LK DY MM PNTS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6125-small.png;;;;;0;
KG6126;LK DY MM HD SWT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6126-small.png;;;;;0;
KG6127;LK DY MM JOG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6127-small.png;;;;;0;
KG6128;LK DY MM T SET;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6128-small.png;;;;;0;
KG6129;LK DY MM T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6129-small.png;;;;;250;
KG6130;J MRVL SM HD;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6130-small.png;;;;;0;
KG6131;LK DY TS T JOG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6131-small.png;;;;;0;
KG6132;LK DY TS T SET;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6132-small.png;;;;;0;
KG6133;LK DY TS T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6133-small.png;;;;;0;
KG6134;LG DY MNA T SET;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6134-small.png;;;;;104;
KG6135;LG DY MNA SET;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6135-small.png;;;;;50;
KG6136;LG DY MNA T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6136-small.png;;;;;0;
KG6137;LK MRVL SM TS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6137-small.png;;;;;72;
KG6139;LK MRVL SM TSET;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6139-small.png;;;;;101;
KG6140;LK MRVL SM T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6140-small.png;;;;;100;
KG6141;LG DY MI PNTS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6141-small.png;;;;;0;
KG6142;LG DY MI TT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6142-small.png;;;;;0;
KG6144;LG DY MI T SET;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6144-small.png;;;;;0;
KG6145;LG DY MI T;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6145-small.png;;;;;0;
KG6358;PATENT PU WB;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6358-small.png;;;;;2;
KG6434;CAMO WAFFLE LS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6434-small.png;;;;1;;
KG6672;Padded Gilet;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6672-small.png;;;;;0;
KG6674;DOWN PUFFER JKT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG6674-small.png;;;;;300;
KG7271;PERF PRT POLO;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG7271-small.png;;;;;0;
KG7273;PERF PRT POLO;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG7273-small.png;;;;;0;
KG7323;TRX TRL SPD SCK;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG7323-small.png;;;;;120;
KG7324;XPR MERI CR SCK;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG7324-small.png;;;;;100;
KG7538;TRX CLIMAWRM GL;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG7538-small.png;;;;;120;
KG7540;TRX MERI CS BN;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG7540-small.png;;;;;100;
KG7550;TRX MERINO HB;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG7550-small.png;;;;;0;
KG7551;TRX MERI GLOVES;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG7551-small.png;;;;;90;
KG7592;GFX LS RASHGD W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG7592-small.png;;;;;30;
KG7664;K MT RV INS JKT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG7664-small.png;;;;;151;
KG7681;K XPR PD JKT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG7681-small.png;;;;;140;
KG7686;K MT INS WP PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG7686-small.png;;;;;0;
KG7698;K MT FZ FLEECE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG7698-small.png;;;;;0;
KG7700;K MT ZIP PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG7700-small.png;;;;;100;
KG7701;K XPL CARGO PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG7701-small.png;;;;;0;
KG7718;K MT AOP FZ FLE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG7718-small.png;;;;;0;
KG7764;3S BEANIE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG7764-small.png;;;;;0;
KG8017;HYBRID DUFFLE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG8017-small.png;;;;;0;
KG8018;HYBRID WAISTBAG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG8018-small.png;;;;;100;
KG8151;OG SB TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG8151-small.png;;;;;0;
KG8456;ADIZERO TEE M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG8456-small.png;;;;;0;
KG9051;ALL ME SCLUPST;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG9051-small.png;;;;;100;
KG9094;ANTED CL SHORT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG9094-small.png;;;;;0;
KG9108;ANTED TRK JKT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG9108-small.png;;;;;0;
KG9110;ANTED TRK PANT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG9110-small.png;;;;;0;
KG9112;ANTED SHORT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG9112-small.png;;;;;0;
KG9164;PF PULLOVER;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG9164-small.png;;;;;0;
KG9165;OS Track Pant;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG9165-small.png;;;;;0;
KG9173;WT GFX TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG9173-small.png;;;;;0;
KG9177;OG SB TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG9177-small.png;;;;;0;
KG9573;3S BP FLAP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG9573-small.png;;;;;100;
KG9575;3S BP FLAP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG9575-small.png;;;;;100;
KG9716;RUN COMFY CREW;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KG9716-small.png;;;;;200;
KH0005;XPL WTR CRG P;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH0005-small.png;;;;;0;
KH0006;XPL WTR CRG P;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH0006-small.png;;;;;0;
KH0022;CARGO SHORTS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH0022-small.png;;;;;0;
KH0188;J STADIUM JKT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH0188-small.png;;;;;0;
KH0190;LK LT PAD JKT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH0190-small.png;;;;;0;
KH0191;LK SHERPA JKT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH0191-small.png;;;;;80;
KH0192;J SHERPA JKT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH0192-small.png;;;;;0;
KH0193;I SD JKT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH0193-small.png;;;;;85;
KH0195;J SD FI PARKA;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH0195-small.png;;;;;100;
KH0197;J SD 3S JKT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH0197-small.png;;;;;160;
KH0198;LK SD JKT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH0198-small.png;;;;;150;
KH0483;W Z.N.E. WD PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH0483-small.png;;;;;106;
KH0719;LOOSE TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH0719-small.png;;;;;0;
KH0724;LOOSE TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH0724-small.png;;;;;0;
KH0726;LOOSE TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH0726-small.png;;;;;0;
KH0728;GFX HOODIE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH0728-small.png;;;;;0;
KH0763;XPR LS BASE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH0763-small.png;;;;;0;
KH1092;adi365 W PT W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH1092-small.png;;;;;200;
KH1116;DRESS PRO;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH1116-small.png;;;;;0;
KH1118;SKIRT PRO;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH1118-small.png;;;;;0;
KH1129;DRESS PRO;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH1129-small.png;;;;;0;
KH1543;W AOP 3S FT PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH1543-small.png;;;;;0;
KH1547;W AOP 3S FT FZ;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH1547-small.png;;;;;0;
KH1549;W AOP SJ TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH1549-small.png;;;;;0;
KH1620;MT WINDFL PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH1620-small.png;;;;;353;
KH1622;W MT WINDFL P;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH1622-small.png;;;;;0;
KH1653;1/4 SOCKS 3P;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH1653-small.png;;;;;34;
KH1751;TIRO26L PNT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH1751-small.png;;;;;0;
KH2015;3S BEANIE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH2015-small.png;;;;;0;
KH2035;EFFECT BEANIE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH2035-small.png;;;;;0;
KH2349;SOFT LUX BEANIE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH2349-small.png;;;;;0;
KH2386;COLL UBCK SUIT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH2386-small.png;;;;;105;
KH2584;W XPL WTR CRG P;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH2584-small.png;;;;;0;
KH2603;W MT LITEFLEX J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH2603-small.png;;;;;0;
KH2612;W MT WINDFL P;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH2612-small.png;;;;;0;
KH2762;M COLLEGIATE FZ;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH2762-small.png;;;;;1;
KH2798;MESSI ZNE PNT Y;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH2798-small.png;;;;;0;
KH3077;LIGHT GLOV;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH3077-small.png;;;;;600;
KH3190;J MC TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH3190-small.png;;;;;83;
KH3191;J MC PNTS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH3191-small.png;;;;;52;
KH3192;J MC HOODIE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH3192-small.png;;;;;80;
KH3193;LK MC T SET;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH3193-small.png;;;;;73;
KH3194;LK MC JOG SET;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH3194-small.png;;;;;73;
KH3195;LK MC TEE 2;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH3195-small.png;;;;;93;
KH3196;LK MC TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH3196-small.png;;;;;100;
KH3198;LK MC TT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH3198-small.png;;;;;0;
KH3199;LK MC PNTS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH3199-small.png;;;;;0;
KH3200;LK MC TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH3200-small.png;;;;;0;
KH3201;J MC TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH3201-small.png;;;;;0;
KH3203;J MC TT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH3203-small.png;;;;;0;
KH3204;J MC SHORT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH3204-small.png;;;;;0;
KH3205;J MC TEE 2;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH3205-small.png;;;;;79;
KH3802;J HOT TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KH3802-small.png;;;;;41;
